0	20	20	4
0	21	21	4
0	22	22	4
0	23	23	4
0	24	24	4
0	25	25	4
0	26	26	4
0	27	27	4
0	28	28	4
0	29	29	4
0	30	30	4
0	31	31	4
0	32	32	4
0	33	33	4
0	34	34	4
0	35	35	4
0	36	36	4
0	37	37	4
0	38	38	4
0	39	39	4
0	40	40	4
0	41	41	4
0	42	42	4
0	43	43	4
0	44	44	4
0	45	45	4
0	46	46	4
0	47	47	4
0	48	48	4
0	49	49	4
0	50	50	4
0	51	51	4
0	52	52	4
0	53	53	4
0	54	54	4
0	55	55	4
0	56	56	4
0	57	57	4
0	58	58	4
0	59	59	4
0	60	60	4
0	61	61	4
0	62	62	4
0	63	63	4
0	64	64	4
0	65	65	4
0	66	66	4
0	67	67	4
0	68	68	4
0	69	69	4
0	70	70	4
0	71	71	4
0	72	72	4
0	73	73	4
0	74	74	4
0	75	75	4
0	76	76	4
0	77	77	4
0	78	78	4
0	79	79	4
0	80	80	4
0	81	81	4
0	82	82	4
0	83	83	4
0	84	84	4
0	85	85	4
0	86	86	4
0	87	87	4
0	88	88	4
0	89	89	4
0	90	90	4
0	91	91	4
0	92	92	4
0	93	93	4
0	94	94	4
0	95	95	4
0	96	96	4
0	97	97	4
0	98	98	4
0	99	99	4
0	100	100	4
0	101	101	4
0	102	102	4
0	103	103	4
0	104	104	4
0	105	105	4
0	106	106	4
0	107	107	4
0	108	108	4
0	109	109	4
0	110	110	4
0	111	111	4
0	112	112	4
0	113	113	4
0	114	114	4
0	115	115	4
0	116	116	4
0	117	117	4
0	118	118	4
0	119	119	4
